order_item_id,order_id,product_id,quantity,discount
1,50001,2094,1,20
2,50002,2001,1,10
3,50003,2082,3,5
4,50003,2050,1,0
5,50004,2052,1,10
6,50004,2032,2,20
7,50005,2040,1,25
8,50005,2044,1,0
9,50006,2032,1,5
10,50006,2002,2,5
11,50007,2041,2,5
12,50007,2041,1,10
13,50008,2073,1,10
14,50008,2048,1,20
15,50008,2055,1,0
16,50008,2047,1,5
17,50009,2043,1,10
18,50010,2072,1,15
19,50010,2068,1,15
20,50010,2100,2,20
21,50011,2050,1,10
22,50011,2003,1,0
23,50012,2059,3,15
24,50013,2040,2,25
25,50013,2010,3,5
26,50013,2086,1,0
27,50014,2064,1,0
28,50014,2063,1,10
29,50014,2064,3,10
30,50015,2099,2,0
31,50015,2069,2,0
32,50016,2072,1,10
33,50017,2076,1,10
34,50018,2073,1,0
35,50018,2071,1,10
36,50019,2008,1,0
37,50020,2041,1,0
38,50021,2028,2,5
39,50022,2090,1,5
40,50023,2059,2,0
41,50023,2052,1,0
42,50024,2053,1,0
43,50024,2069,1,15
44,50025,2077,1,15
45,50026,2021,1,0
46,50026,2100,1,10
47,50027,2077,1,0
48,50028,2021,1,20
49,50029,2061,1,5
50,50029,2043,2,0
51,50030,2038,1,10
52,50030,2087,1,0
53,50031,2029,1,0
54,50032,2084,1,5
55,50032,2064,1,10
56,50033,2082,2,0
57,50034,2075,1,5
58,50034,2063,1,20
59,50035,2020,1,5
60,50036,2100,1,0
61,50036,2065,2,10
62,50037,2036,1,0
63,50037,2026,1,15
64,50038,2012,2,0
65,50039,2032,1,0
66,50039,2014,1,15
67,50040,2089,1,20
68,50040,2044,2,15
69,50041,2063,1,0
70,50042,2081,1,10
71,50042,2097,1,25
72,50043,2046,1,10
73,50043,2006,1,20
74,50044,2062,1,10
75,50045,2095,1,20
76,50045,2036,1,0
77,50045,2011,1,20
78,50046,2072,2,20
79,50047,2063,1,15
80,50047,2016,2,20
81,50048,2001,1,15
82,50048,2053,1,10
83,50048,2015,1,10
84,50049,2019,1,15
85,50049,2031,1,15
86,50049,2047,1,10
87,50049,2082,2,10
88,50050,2044,1,20
89,50050,2084,1,0
90,50051,2061,1,15
91,50051,2040,2,10
92,50052,2051,1,20
93,50053,2015,1,0
94,50054,2098,2,10
95,50054,2031,1,0
96,50054,2091,1,10
97,50055,2065,1,15
98,50056,2030,1,10
99,50056,2049,2,10
100,50056,2013,1,5
101,50057,2062,2,10
102,50058,2007,1,20
103,50059,2064,2,15
104,50060,2020,2,0
105,50060,2013,3,10
106,50061,2023,2,15
107,50062,2009,1,10
108,50063,2089,1,10
109,50063,2094,1,20
110,50063,2093,1,20
111,50063,2072,1,0
112,50064,2024,1,10
113,50064,2076,1,10
114,50065,2076,1,20
115,50065,2024,1,5
116,50066,2084,1,0
117,50067,2100,2,10
118,50068,2038,1,10
119,50068,2059,1,5
120,50069,2088,1,20
121,50070,2027,1,5
122,50071,2099,1,0
123,50071,2031,1,0
124,50071,2097,2,0
125,50072,2024,2,0
126,50073,2075,1,5
127,50073,2053,1,0
128,50073,2038,1,10
129,50074,2044,1,5
130,50075,2023,3,10
131,50076,2068,1,25
132,50077,2100,1,25
133,50077,2059,3,5
134,50077,2028,1,5
135,50078,2067,3,15
136,50078,2044,1,5
137,50079,2093,1,15
138,50079,2027,1,10
139,50080,2052,2,0
140,50081,2050,2,5
141,50081,2089,1,20
142,50081,2012,2,10
143,50082,2062,1,15
144,50082,2081,1,15
145,50083,2037,1,10
146,50083,2051,1,5
147,50084,2030,1,10
148,50084,2042,1,0
149,50085,2096,1,10
150,50085,2037,1,0
151,50086,2021,1,20
152,50086,2058,1,15
153,50087,2047,2,0
154,50088,2078,1,15
155,50088,2004,2,15
156,50088,2091,1,15
157,50089,2071,1,5
158,50090,2085,1,10
159,50090,2041,1,10
160,50090,2045,1,5
161,50090,2034,1,10
162,50091,2084,1,0
163,50092,2008,1,20
164,50093,2053,2,25
165,50094,2026,1,5
166,50094,2064,1,5
167,50095,2097,1,0
168,50096,2068,1,20
169,50096,2005,3,0
170,50096,2040,1,15
171,50097,2004,1,20
172,50097,2049,1,5
173,50098,2018,3,15
174,50099,2070,1,10
175,50099,2054,2,5
176,50100,2031,2,20
177,50100,2086,1,10
178,50101,2075,2,0
179,50101,2063,1,10
180,50101,2036,1,10
181,50102,2028,1,10
182,50103,2059,1,5
183,50103,2080,1,10
184,50103,2084,2,5
185,50104,2078,1,10
186,50105,2003,2,0
187,50105,2099,1,10
188,50106,2025,1,15
189,50106,2002,1,0
190,50107,2057,2,0
191,50108,2046,1,15
192,50109,2011,1,5
193,50109,2022,1,5
194,50110,2021,2,10
195,50111,2044,1,10
196,50112,2075,1,0
197,50113,2069,1,15
198,50113,2003,2,0
199,50114,2018,2,15
200,50115,2062,2,15
201,50115,2081,1,0
202,50116,2004,1,15
203,50116,2034,1,10
204,50116,2012,1,25
205,50116,2049,3,15
206,50117,2040,1,5
207,50117,2018,1,10
208,50118,2097,1,10
209,50118,2077,1,15
210,50119,2055,1,10
211,50119,2077,1,15
212,50120,2032,1,5
213,50121,2094,3,25
214,50122,2042,2,5
215,50123,2039,3,0
216,50124,2057,1,0
217,50125,2058,3,20
218,50125,2062,1,15
219,50126,2084,1,10
220,50127,2027,1,20
221,50128,2071,1,0
222,50128,2020,2,0
223,50128,2025,1,0
224,50129,2050,1,10
225,50130,2053,1,10
226,50130,2065,1,0
227,50131,2014,2,0
228,50132,2082,1,5
229,50132,2056,1,0
230,50133,2060,2,10
231,50134,2075,2,10
232,50135,2070,1,0
233,50135,2043,1,0
234,50135,2049,3,10
235,50136,2024,1,15
236,50137,2057,1,10
237,50138,2021,1,10
238,50139,2064,1,25
239,50139,2042,3,15
240,50140,2024,3,5
241,50141,2048,1,20
242,50141,2094,1,10
243,50142,2057,2,10
244,50142,2035,1,15
245,50143,2046,1,5
246,50143,2061,3,20
247,50144,2016,1,0
248,50144,2057,1,5
249,50144,2004,2,0
250,50145,2086,1,15
251,50146,2061,1,5
252,50146,2012,1,5
253,50146,2047,1,20
254,50147,2089,1,0
255,50148,2097,2,0
256,50149,2014,2,10
257,50149,2028,1,10
258,50150,2015,1,0
259,50150,2037,1,5
260,50151,2087,1,0
261,50152,2071,1,5
262,50152,2026,1,15
263,50152,2033,2,5
264,50152,2062,2,10
265,50153,2060,1,5
266,50153,2047,2,25
267,50153,2043,1,15
268,50154,2094,1,5
269,50155,2051,1,15
270,50155,2079,2,5
271,50156,2096,1,0
272,50156,2034,1,10
273,50157,2078,1,10
274,50157,2082,1,5
275,50157,2022,1,5
276,50158,2023,1,15
277,50158,2017,2,20
278,50159,2062,1,20
279,50160,2077,1,10
280,50160,2076,1,10
281,50161,2039,2,10
282,50162,2071,1,5
283,50162,2003,2,15
284,50163,2066,1,0
285,50163,2048,1,20
286,50164,2083,2,5
287,50164,2097,1,0
288,50165,2056,1,5
289,50166,2063,1,15
290,50166,2093,2,5
291,50167,2035,1,10
292,50167,2015,1,5
293,50168,2051,1,10
294,50169,2036,1,10
295,50170,2064,1,25
296,50171,2079,1,5
297,50171,2051,1,5
298,50171,2031,2,0
299,50172,2057,1,10
300,50173,2045,1,20
301,50173,2019,1,0
302,50174,2078,1,25
303,50174,2034,1,0
304,50175,2054,2,15
305,50175,2091,1,15
306,50175,2019,2,20
307,50176,2043,1,10
308,50176,2018,1,15
309,50177,2044,1,0
310,50178,2031,1,5
311,50179,2092,3,15
312,50180,2031,2,0
313,50180,2062,1,15
314,50180,2014,1,5
315,50181,2046,2,5
316,50181,2084,1,10
317,50182,2068,2,0
318,50182,2029,1,10
319,50183,2098,1,20
320,50183,2081,1,0
321,50184,2041,1,5
322,50184,2098,1,0
323,50184,2019,1,10
324,50185,2034,2,15
325,50185,2094,1,20
326,50185,2098,1,5
327,50185,2083,1,0
328,50186,2020,1,0
329,50186,2022,1,5
330,50187,2065,1,10
331,50188,2006,2,20
332,50189,2100,2,0
333,50189,2095,2,15
334,50190,2081,1,10
335,50190,2097,1,20
336,50191,2023,1,20
337,50191,2089,2,20
338,50192,2026,1,5
339,50193,2013,2,5
340,50193,2027,3,0
341,50194,2078,1,0
342,50195,2095,1,10
343,50196,2062,1,25
344,50196,2025,1,10
345,50196,2061,1,5
346,50197,2051,1,0
347,50197,2052,2,10
348,50198,2035,1,0
349,50199,2014,1,0
350,50200,2037,1,0
351,50200,2090,2,20
352,50201,2041,1,5
353,50202,2003,2,20
354,50203,2035,1,10
355,50203,2047,2,15
356,50204,2060,2,15
357,50204,2065,2,20
358,50205,2043,2,0
359,50206,2015,1,0
360,50206,2045,1,0
361,50207,2001,2,10
362,50207,2051,1,0
363,50208,2045,1,10
364,50209,2036,1,5
365,50210,2067,1,25
366,50211,2076,1,15
367,50212,2027,1,15
368,50212,2051,1,15
369,50212,2051,1,0
370,50213,2051,2,0
371,50214,2041,1,10
372,50214,2021,2,20
373,50214,2018,3,0
374,50214,2004,1,5
375,50215,2006,1,15
376,50216,2081,1,5
377,50216,2007,2,20
378,50217,2086,1,20
379,50217,2090,1,0
380,50218,2025,1,10
381,50218,2045,1,0
382,50219,2037,1,10
383,50219,2040,1,20
384,50219,2036,2,0
385,50220,2035,1,20
386,50220,2069,1,25
387,50221,2042,1,10
388,50221,2019,1,5
389,50222,2038,1,5
390,50222,2098,1,10
391,50222,2099,3,0
392,50223,2007,1,0
393,50223,2058,1,0
394,50223,2098,2,10
395,50224,2020,1,0
396,50224,2007,1,5
397,50224,2022,1,10
398,50224,2032,2,0
399,50225,2094,1,5
400,50226,2026,1,0
401,50227,2034,1,0
402,50228,2026,2,0
403,50228,2040,2,0
404,50229,2100,1,10
405,50230,2009,1,0
406,50231,2046,1,5
407,50231,2062,1,15
408,50232,2012,1,10
409,50233,2005,1,5
410,50233,2099,1,20
411,50234,2027,2,15
412,50235,2025,1,10
413,50235,2035,1,10
414,50235,2008,1,0
415,50236,2015,1,5
416,50237,2003,1,10
417,50237,2054,1,25
418,50238,2047,1,25
419,50238,2028,1,0
420,50239,2092,3,25
421,50240,2031,1,15
422,50241,2002,1,15
423,50241,2010,1,20
424,50241,2073,1,5
